id_transaksi,tanggal,total,diskon,no_cc,id_kasir,id_pramuniaga,kassa,infaq,id_barang,qty,disc_item
13511431311,2012-10-25,269700,0,,242,215,1,0,0721202726,1,0
13511431311,2012-10-25,269700,0,,242,215,1,0,0721202758,2,0
13511431311,2012-10-25,269700,0,,242,215,1,0,8881200159,1,0
13511432311,2012-10-25,142900,10,,242,181,1,0,0731203394,1,0
13511432311,2012-10-25,142900,10,,242,181,1,0,0731203397,1,0
13511432641,2012-10-25,62800,0,,242,035,1,0,0161200353,1,0
13511432641,2012-10-25,62800,0,,242,035,1,0,0421200771,1,0
13511432901,2012-10-25,37900,0,,242,204,1,0,0721202767,1,0
13511433121,2012-10-25,67900,0,,242,215,1,0,0731203454,1,0
13511433301,2012-10-25,88100,10,,242,139,1,0,0691201640,1,0
13511433521,2012-10-25,37900,0,,242,139,1,0,0721202767,1,0
